,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,issue|has issue,,,http://rdaregistry.info/Elements/w/P10141,has issue,,,,,
1,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,part work|has part work,,,http://rdaregistry.info/Elements/w/P10147,has part work,,,,,
2,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,part expression|has part expression,,,http://rdaregistry.info/Elements/e/P20145,has part expression,,,,,
3,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,,,,http://rdaregistry.info/Elements/e/P20319,aggregates,,,,,
4,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,insert|has insert,,,http://rdaregistry.info/Elements/m/P30022,has insert,,,,,
5,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,part manifestation|has part manifestation,,,http://rdaregistry.info/Elements/m/P30033,has part manifestation,,,,,
6,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,facsimile part|has facsimile part,,,http://rdaregistry.info/Elements/m/P30046,has facsimile part,,,,,
7,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,container of item|is container of item,,,http://rdaregistry.info/Elements/i/P40034,is container of item,,,,,
8,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,b,Edition (NR),,,,insert|has insert,,,http://rdaregistry.info/Elements/m/P30022,has insert,,,,,
9,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,b,Edition (NR),,,,part manifestation|has part manifestation,,,http://rdaregistry.info/Elements/m/P30033,has part manifestation,,,,,
10,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,b,Edition (NR),,,,facsimile part|has facsimile part,,,http://rdaregistry.info/Elements/m/P30046,has facsimile part,,,,,
11,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,b,Edition (NR),,,,container of item|is container of item,,,http://rdaregistry.info/Elements/i/P40034,is container of item,,,,,
12,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,c,Qualifying information (NR),,,,issue|has issue,,,http://rdaregistry.info/Elements/w/P10141,has issue,,,,,
13,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,c,Qualifying information (NR),,,,part work|has part work,,,http://rdaregistry.info/Elements/w/P10147,has part work,,,,,
14,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,c,Qualifying information (NR),,,,part expression|has part expression,,,http://rdaregistry.info/Elements/e/P20145,has part expression,,,,,
15,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,c,Qualifying information (NR),,,,,,,http://rdaregistry.info/Elements/e/P20319,aggregates,,,,,
16,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,c,Qualifying information (NR),,,,insert|has insert,,,http://rdaregistry.info/Elements/m/P30022,has insert,,,,,
17,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,c,Qualifying information (NR),,,,part manifestation|has part manifestation,,,http://rdaregistry.info/Elements/m/P30033,has part manifestation,,,,,
18,,774,CONSTITUENT UNIT ENTRY (R),Note controller,*,,Display constant controller,*,,,,c,Qualifying information (NR),,,,facsimile part|has facsimile part,,,http://rdaregistry.info/Elements/m/P30046,has facsimile part,,,,,
