,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,,507,SCALE NOTE FOR GRAPHIC MATERIAL (NR),Undefined,*,,Undefined,*,,,,a,Representative fraction of scale note (NR),,,,,,,http://rdaregistry.info/Elements/e/P20213,has additional scale information,,,,,
1,,507,SCALE NOTE FOR GRAPHIC MATERIAL (NR),Undefined,*,,Undefined,*,,,,a,Representative fraction of scale note (NR),,,,,,,http://rdaregistry.info/Elements/e/P20227,has scale of still image or three-dimensional form,,,,,
2,,507,SCALE NOTE FOR GRAPHIC MATERIAL (NR),Undefined,*,,Undefined,*,,,,a,Representative fraction of scale note (NR),,,,,,,http://rdaregistry.info/Elements/e/P20228,has scale,,,,,
3,,507,SCALE NOTE FOR GRAPHIC MATERIAL (NR),Undefined,*,,Undefined,*,,,,b,Remainder of scale note (NR),,,,,,,http://rdaregistry.info/Elements/e/P20213,has additional scale information,,,,,
4,,507,SCALE NOTE FOR GRAPHIC MATERIAL (NR),Undefined,*,,Undefined,*,,,,b,Remainder of scale note (NR),,,,,,,http://rdaregistry.info/Elements/e/P20227,has scale of still image or three-dimensional form,,,,,
5,,507,SCALE NOTE FOR GRAPHIC MATERIAL (NR),Undefined,*,,Undefined,*,,,,b,Remainder of scale note (NR),,,,,,,http://rdaregistry.info/Elements/e/P20228,has scale,,,,,
6,,507,SCALE NOTE FOR GRAPHIC MATERIAL (NR),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
7,,507,SCALE NOTE FOR GRAPHIC MATERIAL (NR),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
8,,507,SCALE NOTE FOR GRAPHIC MATERIAL (NR),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
9,,507,SCALE NOTE FOR GRAPHIC MATERIAL (NR),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
