,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,0,Library of Congress Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
1,,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,1,LC subject headings for children's literature,,,z,Geographic subdivision (R),,,,,,,,,,,,,
2,,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,2,Medical Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
3,,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,3,National Agricultural Library subject authority file,,,z,Geographic subdivision (R),,,,,,,,,,,,,
4,,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,4,Source not specified,,,z,Geographic subdivision (R),,,,,,,,,,,,,
5,,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,5,Canadian Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
6,,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,6,Répertoire de vedettes-matière,,,z,Geographic subdivision (R),,,,,,,,,,,,,
7,,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,7,Source specified in subfield $2,,,z,Geographic subdivision (R),,,,,,,,,,,,,
8,,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,0,No level specified,Thesaurus,0,Library of Congress Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
9,,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,0,No level specified,Thesaurus,1,LC subject headings for children's literature,,,z,Geographic subdivision (R),,,,,,,,,,,,,
10,,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,0,No level specified,Thesaurus,2,Medical Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
11,,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,0,No level specified,Thesaurus,3,National Agricultural Library subject authority file,,,z,Geographic subdivision (R),,,,,,,,,,,,,
