,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,not mapped,33,DATE/TIME AND PLACE OF AN EVENT (R),Type of date in subfield $a,*,,Type of event,2,Finding,,,a,Formatted date/time (R),,,,,,,http://rdaregistry.info/Elements/w/P10219,has date of work,structured description,Could not find this concept in RDA.,,,
1,delete,33,DATE/TIME AND PLACE OF AN EVENT (R),Type of date in subfield $a,*,,Type of event,*,,,,a,Formatted date/time (R),,,,,,,http://rdaregistry.info/Elements/w/P10317,has related timespan of work,,,,,
2,delete,33,DATE/TIME AND PLACE OF AN EVENT (R),Type of date in subfield $a,*,,Type of event,*,,,,a,Formatted date/time (R),,,,,,,http://rdaregistry.info/Elements/e/P20214,has date of expression,,,,,
3,delete,33,DATE/TIME AND PLACE OF AN EVENT (R),Type of date in subfield $a,*,,Type of event,*,,,,a,Formatted date/time (R),,,,,,,http://rdaregistry.info/Elements/e/P20307,has related timespan of expression,,,,,
4,delete,33,DATE/TIME AND PLACE OF AN EVENT (R),Type of date in subfield $a,*, ,Type of event,*, ,,,2,Source of term (R),,,,,,,,,,,,,
5,delete,33,DATE/TIME AND PLACE OF AN EVENT (R),Type of date in subfield $a,*,,Type of event,0,Capture,,,a,Formatted date/time (R),,,,,,,http://rdaregistry.info/Elements/e/P20217,has capture information,,,,,
6,not mapped,33,DATE/TIME AND PLACE OF AN EVENT (R),Type of date in subfield $a,*,,Type of event,*,,,,3,Materials specified (NR),,,,,,,,,,"I would ignore subfield $3, especially if we can confirm it is not actually used in practice-Gordon 2/23/2024",,,
7,not mapped,33,DATE/TIME AND PLACE OF AN EVENT (R),Type of date in subfield $a,*, ,Type of event,*, ,,,6,Linkage (NR),,,,,,,,,,,,,
8,not mapped,33,DATE/TIME AND PLACE OF AN EVENT (R),Type of date in subfield $a,*, ,Type of event,*, ,,,8,Field link and sequence number (R),,,,,,,,,,,,,
9,reviewed,33,DATE/TIME AND PLACE OF AN EVENT (R),Type of date in subfield $a,*,,Type of event,0,Capture,,,a,Formatted date/time (R),,,,,,,http://rdaregistry.info/Elements/e/P20004,has date of capture,structured description,,,,"Record a date of capture by giving the year, month, day, and time, as applicable."
