,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,subseries of|is subseries of,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
1,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,c,Qualifying information (NR),,,,subseries of|is subseries of,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
2,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,g,Related parts (R),,,,subseries of|is subseries of,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
3,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,m,Material-specific details (NR),,,,subseries of|is subseries of,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
4,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,n,Note (R),,,,subseries of|is subseries of,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
5,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,o,Other item identifier (R),,,,subseries of|is subseries of,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
6,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,o,Other item identifier (R),,,,related work of work|has related work of work,,,http://rdaregistry.info/Elements/w/P10198,has related work of work,,,,,
7,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,s,Uniform title (NR),,,,subseries of|is subseries of,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
8,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,t,Title (NR),,,,subseries of|is subseries of,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
9,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,x,International Standard Serial Number (NR),,,,subseries of|is subseries of,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
10,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,x,International Standard Serial Number (NR),,,,related work of work|has related work of work,,,http://rdaregistry.info/Elements/w/P10198,has related work of work,,,,,
11,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,y,CODEN designation (NR),,,,subseries of|is subseries of,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
12,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,y,CODEN designation (NR),,,,related work of work|has related work of work,,,http://rdaregistry.info/Elements/w/P10198,has related work of work,,,,,
13,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,,,,,,related work of work|has related work of work,,,http://rdaregistry.info/Elements/w/P10198,has related work of work,,,,,
14,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,w,Record control number (R),,,,subseries of|is subseries of,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
15,,760,MAIN SERIES ENTRY (R),Note controller,*,,Display constant controller,*,,,,w,Record control number (R),,,,related work of work|has related work of work,,,http://rdaregistry.info/Elements/w/P10198,has related work of work,,,,,
