,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,reviewed,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,"a, 2",File type (R),,,2,not rdaft,"not($1, or $0 begnning with http)",,http://rdaregistry.info/Elements/m/P30018,has file type,IRI,,"[Manifestation] rdam:P30018 skos:Concept(mintedIRI)
skos:Concept skos:prefLabel <$a>
skos:Concept skos:inScheme <$2>
PS 7/15/2024

[Manifestation]-->rdam:P30018-->[value of $a] -- ZP 4/10/2022",,
1,reviewed,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,"a, 2",File type (R),,,2,rdaft,"not($1, or $0 begnning with http)",,http://rdaregistry.info/Elements/m/P30018,has file type,IRI,,[Manifestation]-->rdam:P30018-->[look up uri at https://www.rdaregistry.info/termList/fileType/ ] -- ZP 4/10/2022,,
2,reviewed,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,a,File type (R),,,,,,,https://www.rdaregistry.info/Elements/m/datatype/#P30018,has file type,unstructured description,,[Manifestation]-->rdamd:P30018-->[value of $a] -- ZP 4/10/2022,,
3,reviewed,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,b,Encoding format (R),,,$2 in 347 with $a,rdaft,"not($1, or $0 begnning with http)",,http://rdaregistry.info/Elements/m/P30096,has encoding format,IRI,,[Manifestation]-->rdam:P30096-->[look up iri at https://id.loc.gov/vocabulary/mencformat.html ] -- ZP 4/10/2022,,
4,reviewed,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,b,Encoding format (R),,, , , ,,https://www.rdaregistry.info/Elements/m/datatype/#P30096,has encoding format,unstructured description,,[Manifestation]-->rdamd:P30096-->[value of $b] -- ZP 4/10/2022,,
5,reviewed,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,c,File size (R),,,,,,,https://www.rdaregistry.info/Elements/m/datatype/#P30183,has file size,unstructured description,,[Manifestation]-->rdamd:P30183-->[value of $c] -- ZP 4/10/2022,,"The only allowed recording method is the unstructured description, the MARC mapping in Toolkit saying 'structured description' is incorrect -- ZP 4/10/2022"
6,reviewed,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,d,Resolution (R),,, , , ,,https://www.rdaregistry.info/Elements/m/datatype/#P30159,has resolution,unstructured description,,[Manifestation]-->rdamd:P30159-->[value of $d] -- ZP 4/10/2022,,
7,reviewed,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,"e, 2",Regional encoding (R),,,2,not rdare,"not($1, or $0 begnning with http)",,http://rdaregistry.info/Elements/m/P30006,has regional encoding,IRI,,"[Manifestation] rdam:P30006 skos:Concept(mintedIRI)
skos:Concept skos:prefLabel <$e>
skos:Concept skos:inScheme <$2>
PS 7/15/2024

[Manifestation]-->rdam:P30006-->[value of $e] -- ZP 4/10/2022",,
8,delete,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,a,File type (R),,,,,,,http://rdaregistry.info/Elements/m/P30124,has digital file characteristic,,,,,Not specific enough -- ZP 4/10/2022
9,delete,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,b,Encoding format (R),,,,,,,http://rdaregistry.info/Elements/m/P30124,has digital file characteristic,,,,,Not specific enough -- ZP 4/10/2022
10,delete,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,c,File size (R),,,,,,,http://rdaregistry.info/Elements/m/P30124,has digital file characteristic,,,,,Not specific enough -- ZP 4/10/2022
11,delete,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,d,Resolution (R),,,,,,,http://rdaregistry.info/Elements/m/P30124,has digital file characteristic,,,,,Not specific enough -- ZP 4/10/2022
12,reviewed,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,"e, 2",Regional encoding (R),,,2,rdare,"not($1, or $0 begnning with http)",,http://rdaregistry.info/Elements/m/P30006,has regional encoding,IRI,,[Manifestation]-->rdam:P30006-->[look up uri at https://www.rdaregistry.info/termList/RDARegionalEncoding/ ] -- ZP 4/10/2022,,
13,reviewed,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,e,Regional encoding (R),,, , , ,,https://www.rdaregistry.info/Elements/m/datatype/#P30006,has regional encoding,unstructured description,,[Manifestation]-->rdamd:P30006-->[value of $e ] -- ZP 4/10/2022,,
14,delete,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,e,Regional encoding (R),,,,,,,http://rdaregistry.info/Elements/m/P30124,has digital file characteristic,,,,,Not specific enough -- ZP 4/10/2022
15,delete,347,DIGITAL FILE CHARACTERISTICS (R),Undefined,*,,Undefined,*,,,,f,Encoded bitrate (R),,,,,,,http://rdaregistry.info/Elements/m/P30124,has digital file characteristic,,,,,Not specific enough -- ZP 4/10/2022
