,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Identifying markings (R),,,,,,,http://rdaregistry.info/Elements/i/P40003,has modification of item,,,,,
1,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Identifying markings (R),,,,,,,http://rdaregistry.info/Elements/i/P40014,has inscriber,,,,,
2,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Identifying markings (R),,,,,,,http://rdaregistry.info/Elements/i/P40015,has annotator,,,,,
3,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Identifying markings (R),,,,,,,http://rdaregistry.info/Elements/i/P40016,has autographer,,,,,
4,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Identifying markings (R),,,,,,,http://rdaregistry.info/Elements/i/P40024,has restorationist agent of item,,,,,
5,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Identifying markings (R),,,,,,,http://rdaregistry.info/Elements/i/P40028,has note on item,,,,,
6,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Identifying markings (R),,,,,,,http://rdaregistry.info/Elements/i/P40111,has restorationist person of item,,,,,
7,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Identifying markings (R),,,,,,,http://rdaregistry.info/Elements/i/P40127,has restorationist collective agent of item,,,,,
8,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Identifying markings (R),,,,,,,http://rdaregistry.info/Elements/i/P40143,has restorationist corporate body of item,,,,,
9,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Identifying markings (R),,,,,,,http://rdaregistry.info/Elements/i/P40159,has restorationist family of item,,,,,
10,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Copy identification (R),,,,,,,http://rdaregistry.info/Elements/i/P40003,has modification of item,,,,,
11,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Copy identification (R),,,,,,,http://rdaregistry.info/Elements/i/P40014,has inscriber,,,,,
12,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Copy identification (R),,,,,,,http://rdaregistry.info/Elements/i/P40015,has annotator,,,,,
13,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Copy identification (R),,,,,,,http://rdaregistry.info/Elements/i/P40016,has autographer,,,,,
14,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Copy identification (R),,,,,,,http://rdaregistry.info/Elements/i/P40024,has restorationist agent of item,,,,,
15,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Copy identification (R),,,,,,,http://rdaregistry.info/Elements/i/P40028,has note on item,,,,,
16,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Copy identification (R),,,,,,,http://rdaregistry.info/Elements/i/P40111,has restorationist person of item,,,,,
17,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Copy identification (R),,,,,,,http://rdaregistry.info/Elements/i/P40127,has restorationist collective agent of item,,,,,
18,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Copy identification (R),,,,,,,http://rdaregistry.info/Elements/i/P40143,has restorationist corporate body of item,,,,,
19,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Copy identification (R),,,,,,,http://rdaregistry.info/Elements/i/P40159,has restorationist family of item,,,,,
20,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,,,,,
21,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,5,Institution to which field applies (NR),,,,,,,,,,,,,
22,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
23,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
24,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,c,Version identification (R),,,,,,,,,,,,,
25,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,d,Presentation format (R),,,,,,,,,,,,,
26,,562,COPY AND VERSION IDENTIFICATION NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,e,Number of copies (R),,,,,,,,,,,,,
