,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,delete,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10006,has degree granting institution,,,,,
1,delete,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10041,has degree supervisor,,,,,
2,delete,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10077,has academic degree,,,,,
3,done,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10209,has dissertation or thesis information,structured description; unstructured description,,[Work]-->rdawd:P10209-->[value of $a] -- 8/2/2022 ZP,,
4,delete,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10215,has year degree granted,,,,,
5,delete,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10284,has degree committee member,,,,,
6,delete,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10408,has project supervisor,,,,,
7,delete,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10409,has research supervisor,,,,,
8,done,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Degree type (NR),,,,,,,http://rdaregistry.info/Elements/w/P10077,has academic degree,unstructured description,,[Work]-->rdawd:P10077-->[value of $b] -- 8/17/2022 ZP,,
9,delete,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Degree type (NR),,,,,,,http://rdaregistry.info/Elements/w/P10209,has dissertation or thesis information,,,,,
10,done,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,c,Name of granting institution (NR),,,,,,,http://rdaregistry.info/Elements/w/P10006,has degree granting institution,unstructured description,,[Work]-->rdawd:P10006-->[value of $c] -- 8/17/2022 ZP,,
11,delete,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,c,Name of granting institution (NR),,,,,,,http://rdaregistry.info/Elements/w/P10209,has dissertation or thesis information,,,,,
12,delete,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,d,Year of degree granted (NR),,,,,,,http://rdaregistry.info/Elements/w/P10209,has dissertation or thesis information,,,,,
